;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
0;173 000 км;Ford Focus II Рестайлинг;415 000 ₽;2010;механика;седан;передний;серый;1.8 л/125л.с./Бензин
1;87 000 км;Ford Focus III Рестайлинг;849 900 ₽;2016;автомат;хэтчбек 5 дв.;передний;серый;1.5 л/150л.с./Бензин
2;163 000 км;Ford Focus II;254 000 ₽;2006;механика;седан;передний;серебристый;1.6 л/100л.с./Бензин
3;142 000 км;Ford Focus II Рестайлинг;420 000 ₽;2009;механика;хэтчбек 5 дв.;передний;белый;2.0 л/145л.с./Бензин
4;103 000 км;Ford Focus III;609 999 ₽;2011;механика;хэтчбек 5 дв.;передний;пурпурный;1.6 л/125л.с./Бензин
5;96 342 км;Ford Focus III;579 000 ₽;2013;робот;хэтчбек 5 дв.;передний;серый;1.6 л/125л.с./Бензин
6;389 589 км;Ford Focus I Рестайлинг;140 000 ₽;2004;механика;универсал 5 дв.;передний;золотистый;1.8 л/115л.с./Бензин
7;43 150 км;Ford Focus III;699 000 ₽;2013;робот;универсал 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
8;94 000 км;Ford Focus III Рестайлинг;630 000 ₽;2017;робот;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
9;130 531 км;Ford Focus III Рестайлинг;440 000 ₽;2017;механика;универсал 5 дв.;передний;жёлтый;1.6 л/105л.с./Бензин
10;210 000 км;Ford Focus II Рестайлинг;450 000 ₽;2010;механика;хэтчбек 5 дв.;передний;серебристый;1.8 л/125л.с./Бензин
11;172 400 км;Ford Focus II Рестайлинг;343 199 ₽;2008;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
12;180 000 км;Ford Focus I Рестайлинг;125 000 ₽;2002;механика;хэтчбек 3 дв.;передний;серый;2.0 л/131л.с./Бензин
13;151 000 км;Ford Focus II Рестайлинг;395 000 ₽;2010;механика;универсал 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
14;189 900 км;Ford Focus II;195 000 ₽;2005;механика;седан;передний;чёрный;2.0 л/145л.с./Бензин
15;190 000 км;Ford Focus II Рестайлинг;420 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;серебристый;1.6 л/100л.с./Бензин
16;4 380 км;Ford Focus III;960 000 ₽;2015;робот;седан;передний;серебристый;1.6 л/125л.с./Бензин
17;37 000 км;Ford Focus III;650 000 ₽;2012;робот;хэтчбек 5 дв.;передний;красный;1.6 л/125л.с./Бензин
18;220 000 км;Ford Focus II Рестайлинг;300 000 ₽;2008;автомат;седан;передний;чёрный;1.6 л/100л.с./Бензин
19;139 000 км;Ford Focus II Рестайлинг;420 000 ₽;2011;автомат;седан;передний;синий;1.6 л/100л.с./Бензин
20;176 080 км;Ford Focus II;320 000 ₽;2008;механика;седан;передний;чёрный;1.6 л/115л.с./Бензин
21;28 083 км;Ford Focus III Рестайлинг;1 050 000 ₽;2017;автомат;седан;передний;чёрный;1.5 л/150л.с./Бензин
22;300 000 км;Ford Focus I Рестайлинг;220 000 ₽;2003;механика;седан;передний;синий;1.8 л/115л.с./Бензин
23;142 690 км;Ford Focus II Рестайлинг;500 000 ₽;2011;автомат;хэтчбек 5 дв.;передний;красный;2.0 л/145л.с./Бензин
24;163 500 км;Ford Focus III;465 000 ₽;2013;механика;универсал 5 дв.;передний;белый;1.6 л/105л.с./Бензин
25;102 000 км;Ford Focus II Рестайлинг;399 000 ₽;2010;автомат;хэтчбек 5 дв.;передний;серый;1.6 л/100л.с./Бензин
26;140 000 км;Ford Focus II Рестайлинг;320 000 ₽;2008;механика;хэтчбек 5 дв.;передний;красный;1.8 л/125л.с./Бензин
27;90 000 км;Ford Focus III Рестайлинг;899 000 ₽;2015;автомат;хэтчбек 5 дв.;передний;белый;1.5 л/150л.с./Бензин
28;170 000 км;Ford Focus II;290 990 ₽;2006;механика;седан;передний;серебристый;1.6 л/115л.с./Бензин
29;292 477 км;Ford Focus II Рестайлинг;339 000 ₽;2008;механика;седан;передний;синий;1.8 л/125л.с./Бензин
30;92 400 км;Ford Focus III;500 000 ₽;2013;робот;седан;передний;чёрный;1.6 л/125л.с./Бензин
31;151 000 км;Ford Focus II Рестайлинг;480 000 ₽;2011;автомат;седан;передний;серый;1.6 л/100л.с./Бензин
32;177 947 км;Ford Focus III;465 000 ₽;2011;механика;хэтчбек 5 дв.;передний;пурпурный;1.6 л/105л.с./Бензин
33;315 000 км;Ford Focus II;199 000 ₽;2006;механика;седан;передний;серый;1.4 л/80л.с./Бензин
34;295 567 км;Ford Focus II;247 000 ₽;2006;механика;хэтчбек 5 дв.;передний;голубой;1.8 л/125л.с./Бензин
35;165 705 км;Ford Focus I;250 000 ₽;2001;автомат;хэтчбек 5 дв.;передний;серый;2.0 л/131л.с./Бензин
36;107 050 км;Ford Focus III;519 000 ₽;2012;механика;хэтчбек 5 дв.;передний;серый;1.6 л/105л.с./Бензин
37;132 000 км;Ford Focus III;570 000 ₽;2013;робот;седан;передний;чёрный;2.0 л/150л.с./Бензин
38;135 761 км;Ford Focus II Рестайлинг;270 000 ₽;2007;механика;седан;передний;синий;1.8 л/125л.с./Бензин
39;163 000 км;Ford Focus II Рестайлинг;316 000 ₽;2007;механика;седан;передний;чёрный;1.6 л/115л.с./Бензин
