;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
0;43 823 км;Renault Logan I;293 000 ₽;2007;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
1;Новый;Renault Logan II Рестайлинг;от 792 000 ₽;2020;механика;седан;передний;Drive;1.6 л/113л.с./Бензин
2;189 409 км;Renault Logan II;465 000 ₽;2014;механика;седан;передний;белый;1.6 л/102л.с./Бензин
3;230 000 км;Renault Logan I Рестайлинг;180 000 ₽;2010;механика;седан;передний;синий;1.4 л/75л.с./Бензин
4;167 000 км;Renault Logan I;189 000 ₽;2006;механика;седан;передний;серый;1.4 л/75л.с./Бензин
5;15 000 км;Renault Logan II Рестайлинг Stepway;879 999 ₽;2019;вариатор;седан;передний;коричневый;1.6 л/113л.с./Бензин
6;6 км;Renault Logan II Рестайлинг Stepway;870 000 ₽;2020;механика;седан;передний;белый;1.6 л/82л.с./Бензин
7;209 000 км;Renault Logan I Рестайлинг;265 000 ₽;2010;механика;седан;передний;бежевый;1.4 л/75л.с./Бензин
8;29 631 км;Renault Logan II Рестайлинг;650 000 ₽;2018;механика;седан;передний;белый;1.6 л/113л.с./Бензин
9;240 000 км;Renault Logan I Рестайлинг;147 000 ₽;2009;механика;седан;передний;белый;1.4 л/75л.с./Бензин
10;64 000 км;Renault Logan II;539 000 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
11;513 817 км;Renault Logan I Рестайлинг;199 999 ₽;2014;механика;седан;передний;белый;1.4 л/75л.с./Бензин
12;16 500 км;Renault Logan II Рестайлинг;745 000 ₽;2019;механика;седан;передний;белый;1.6 л/82л.с./Бензин
13;109 400 км;Renault Logan II;515 000 ₽;2014;механика;седан;передний;красный;1.6 л/82л.с./Бензин
14;72 195 км;Renault Logan II;535 000 ₽;2016;механика;седан;передний;красный;1.6 л/82л.с./Бензин
15;Новый;Renault Logan II Рестайлинг Stepway;951 000 ₽;2021;механика;седан;передний;Stepway Drive;1.6 л/113л.с./Бензин
16;119 672 км;Renault Logan I;310 000 ₽;2009;механика;седан;передний;красный;1.6 л/87л.с./Бензин
17;65 000 км;Renault Logan II;435 000 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
18;Новый;Renault Logan II Рестайлинг;685 000 ₽;2021;механика;седан;передний;Access;1.6 л/82л.с./Бензин
19;69 800 км;Renault Logan II;537 000 ₽;2015;робот;седан;передний;белый;1.6 л/82л.с./Бензин
20;Новый;Renault Logan II Рестайлинг;от 750 099 ₽;2020;механика;седан;передний;Drive;1.6 л/113л.с./Бензин
21;83 000 км;Renault Logan I Рестайлинг;420 000 ₽;2013;механика;седан;передний;серебристый;1.4 л/75л.с./Бензин
22;135 991 км;Renault Logan I Рестайлинг;279 000 ₽;2010;механика;седан;передний;белый;1.4 л/75л.с./Бензин
23;143 000 км;Renault Logan I Рестайлинг;299 000 ₽;2013;механика;седан;передний;красный;1.6 л/84л.с./Бензин
24;143 000 км;Renault Logan I;249 000 ₽;2009;механика;седан;передний;серый;1.6 л/87л.с./Бензин
25;130 000 км;Renault Logan I;220 000 ₽;2008;механика;седан;передний;серый;1.6 л/87л.с./Бензин
